country,lat,lng
Afghanistan,33.0,65.0
Albania,41.0,20.0
Algeria,28.0,3.0
Angola,-12.5,18.5
Antigua and Barbuda,17.05,-61.8
Argentina,-34.0,-64.0
Armenia,40.0,45.0
Australia,-27.0,133.0
Austria,47.33333333,13.33333333
Azerbaijan,40.5,47.5
Bahamas,24.25,-76.0
Bahrain,26.0,50.55
Bangladesh,24.0,90.0
Belarus,53.0,28.0
Belgium,50.83333333,4.0
Benin,9.5,2.25
Bhutan,27.5,90.5
Bolivia,-17.0,-65.0
Bosnia and Herzegovina,44.0,18.0
Botswana,-22.0,24.0
Brazil,-10.0,-55.0
Brunei,4.5,114.66666666
Bulgaria,43.0,25.0
Burkina Faso,13.0,-2.0
Cambodia,13.0,105.0
Cameroon,6.0,12.0
Canada,60.0,-95.0
Cape Verde,16.0,-24.0
Chad,15.0,19.0
Chile,-30.0,-71.0
China,35.0,105.0
Colombia,4.0,-72.0
Congo,0.0,25.0
Costa Rica,10.0,-84.0
Cote d'Ivoire,8.0,-5.0
Croatia,45.16666666,15.5
Cuba,21.5,-80.0
Cyprus,35.0,33.0
Czech Republic,49.75,15.5
Denmark,56.0,10.0
Dominican Republic,19.0,-70.66666666
Ecuador,-2.0,-77.5
Egypt,27.0,30.0
El Salvador,13.83333333,-88.91666666
Estonia,59.0,26.0
Ethiopia,8.0,38.0
Fiji,-18.0,175.0
Finland,64.0,26.0
France,46.0,2.0
Gabon,-1.0,11.75
Georgia,42.0,43.5
Germany,51.0,9.0
Ghana,8.0,-2.0
Greece,39.0,22.0
Guatemala,15.5,-90.25
Guyana,5.0,-59.0
Honduras,15.0,-86.5
Hong Kong,22.267,114.188
Hungary,47.0,20.0
Iceland,65.0,-18.0
India,20.0,77.0
Indonesia,-5.0,120.0
Iraq,33.0,44.0
Iran,32.0,53.0
Ireland,53.0,-8.0
Israel,31.47,35.13
Italy,42.83333333,12.83333333
Jamaica,18.25,-77.5
Japan,36.0,138.0
Jordan,31.0,36.0
Kazakhstan,48.0,68.0
Kenya,1.0,38.0
Kuwait,29.5,45.75
Kyrgyzstan,41.0,75.0
Laos,18.0,105.0
Latvia,57.0,25.0
Lebanon,33.83333333,35.83333333
Libya,25.0,17.0
Lithuania,56.0,24.0
Luxembourg,49.75,6.16666666
Madagascar,-20.0,47.0
Malawi,-13.5,34.0
Malaysia,2.5,112.5
Malta,35.83333333,14.58333333
Marshall Islands,9.0,168.0
Mauritania,20.0,-12.0
Mauritius,-20.28333333,57.55
Mexico,23.0,-102.0
Moldova,47.0,29.0
Mongolia,46.0,105.0
Montenegro,42.5,19.3
Morocco,32.0,-5.0
Mozambique,-18.25,35.0
Namibia,-22.0,17.0
Nepal,28.0,84.0
Netherlands,52.5,5.75
New Zealand,-41.0,174.0
Nicaragua,13.0,-85.0
Niger,16.0,8.0
Nigeria,10.0,8.0
Norway,62.0,10.0
Oman,21.0,57.0
Pakistan,30.0,70.0
Panama,9.0,-80.0
Paraguay,-23.0,-58.0
Peru,-10.0,-76.0
Philippines,13.0,122.0
Poland,52.0,20.0
Portugal,39.5,-8.0
Romania,46.0,25.0
Russia,60.0,100.0
Rwanda,-2.0,30.0
Samoa,-13.58333333,-172.33333333
Saudi Arabia,25.0,45.0
Senegal,14.0,-14.0
Serbia,44.0,21.0
Seychelles,-4.58333333,55.66666666
Sierra Leone,8.5,-11.5
Singapore,1.36666666,103.8
Slovakia,48.66666666,19.5
Slovenia,46.11666666,14.81666666
Solomon Islands,-8.0,159.0
South Africa,-29.0,24.0
South Korea,37.0,127.5
Spain,40.0,-4.0
Sri Lanka,7.0,81.0
Sudan,15.0,30.0
Suriname,4.0,-56.0
Sweden,62.0,15.0
Switzerland,47.0,8.0
Tajikistan,39.0,71.0
Tanzania,-6.0,35.0
Thailand,15.0,100.0
Togo,8.0,1.16666666
Trinidad and Tobago,11.0,-61.0
Tunisia,34.0,9.0
Turkey,39.0,35.0
Turkmenistan,40.0,60.0
Uganda,1.0,32.0
Ukraine,49.0,32.0
United Arab Emirates,24.0,54.0
United Kingdom,54.0,-2.0
United States,38.0,-97.0
Uruguay,-33.0,-56.0
Uzbekistan,41.0,64.0
Vanuatu,-16.0,167.0
Venezuela,8.0,-66.0
Vietnam,16.16666666,107.83333333
Yemen,15.0,48.0
Zambia,-15.0,30.0
Zimbabwe,-20.0,30.0
