country,population,travellers,hdi
Afghanistan,32.76,1929907,0.498
Albania,2.9,4146000.0,0.773
Algeria,39.1,2839000.0,0.747
Angola,26.92,1244491,0.581
Antigua and Barbuda,0.098,1039809,0.780
Argentina,43.0,6517000.0,0.82
Armenia,2.9,1198000.0,0.745
Australia,23.5,9133000.0,0.9329999999999999
Austria,8.6,10994000.0,0.9009999999999999
Azerbaijan,9.5,4244000.0,0.758
Bahamas,0.382,587516,0.807
Bahrain,1.336,5313756,0.846
Bangladesh,159.4,2906799,0.608
Belarus,9.5,741000.0,0.807
Belgium,11.2,10991000.0,0.909
Benin,10.29,112392,0.515
Bhutan,0.776,162864,0.612
Bolivia,10.56,2578959,0.693
Bosnia and Herzegovina,3.566,7070,0.768
Botswana,2.169,194005,0.717
Brazil,204.2,9617000.0,0.752
Brunei,0.411,1150003,0.853
Bulgaria,7.2,4158000.0,0.797
Burkina Faso,17.59,122589,0.423
Cambodia,15.3,956000.0,0.5660000000000001
Cameroon,22.24,267208,0.556
Canada,35.6,33518000.0,0.9179999999999999
Cape Verde,0.526,567182,0.654
Chad,13.6,98000.0,0.40299999999999997
Chile,17.6,3169000.0,0.833
China,1390.1,116593000.0,0.738
Colombia,47.8,3911000.0,0.738
Congo,73.72,657926,0.457
Costa Rica,4.8,798000.0,0.78
Cote d'Ivoire,22.53,359260,0.492
Croatia,4.3,2763000.0,0.8240000000000001
Cuba,11.4,355000.0,0.768
Cyprus,1.2,1209000.0,0.856
Czech Republic,10.51,4971616,0.888
Denmark,5.7,8528000.0,0.9279999999999999
Dominican Republic,10.4,427000.0,0.718
Ecuador,15.9,1278000.0,0.742
Egypt,91.81,10159464,0.696
El Salvador,6.3,1515000.0,0.67
Estonia,1.3,1426000.0,0.8640000000000001
Ethiopia,97.37,7074779,0.463
Fiji,0.885,1336976,0.741
Finland,5.5,8731000.0,0.914
France,64.2,65039503,0.894
Gabon,1.876,137331,0.702
Georgia,4.0,3106000.0,0.765
Germany,81.5,83008000.0,0.93
Ghana,26.96,390457,0.592
Greece,11.3,5802000.0,0.8640000000000001
Guatemala,15.9,992000.0,0.643
Guyana,0.763,43835,0.654
Honduras,8.8,557000.0,0.603
Hong Kong,7.23,41867157,0.933
Hungary,9.8,16340000.0,0.833
Iceland,0.3,400000.0,0.925
India,1293.9,18330000.0,0.618
Indonesia,255.1,8074000.0,0.6829999999999999
Iraq,35.01,484803,0.685
Iran,78.41,15003958,0.798
Ireland,4.7,6676000.0,0.9209999999999999
Israel,7.9,5181000.0,0.899
Italy,59.6,28460000.0,0.8740000000000001
Jamaica,2.682,92836,0.732
Japan,128.2,16903000.0,0.903
Jordan,8.8,1230000.0,0.73
Kazakhstan,17.5,10230000.0,0.793
Kenya,46.02,4874590,0.590
Kuwait,3.782,3655366,0.803
Kyrgyzstan,5.836,625294,0.672
Laos,6.576,1181187,0.601
Latvia,2.0,1846000.0,0.838
Lebanon,5.603,2583274,0.757
Libya,6.204,2566465,0.706
Lithuania,3.0,1789000.0,0.851
Luxembourg,0.6,1516000.0,0.895
Madagascar,23.59,546946,0.519
Malawi,17.07,6010,0.477
Malaysia,30.23,50347149,0.802
Malta,0.4,391000.0,0.862
Marshall Islands,0.052,86868,0.708
Mauritania,4.064,248158,0.520	
Mauritius,1.3,223000.0,0.782
Mexico,124.2,18261000.0,0.761
Moldova,3.556,1005942,0.700
Mongolia,2.924,541129,0.741
Montenegro,0.621,526980,0.814
Morocco,34.3,6786850,0.65
