country,t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.545251867169336e-05,8.816553605538905e-05,0.00036441413364939664,0.0012778359280158408,0.003855684595591159,0.010034167646551913,0.022349765237310484,0.04199733081107522,0.06537309330310474,0.08248705559125667,0.08232109866272813,0.06320545426146162,0.0361951767804564,0.014919764346116055,0.004247005702022745,0.0007954320249306167,9.262850147554312e-05,1.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012435731849698428,0.0005300262859841709,0.0016940518817334614,0.004304679423394775,0.008975904453209943,0.015431416057025252,0.021856221474846553,0.025205162292973295,0.023238587060045997,0.016811465580435253,0.009273360740915585,0.003814636543038728,0.0011312354194112828,0.00022273097861947097,2.8762168023265017e-05,2.3007876168628746e-06,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1433324652997882e-05,7.120148874862482e-05,0.0003095847050034417,0.00110087387784269,0.003435031913022325,0.009509437634625402,0.02336958071944976,0.05063467982902381,0.0956234483132311,0.15509567643155406,0.21250056730661374,0.2415085651514886,0.2228503261738513,0.16275858931958515,0.09139588515307147,0.038189425491056854,0.011438591663667924,0.002351235174999604,0.0003151870690300145,2.6052846972601473e-05,3.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916528202473623e-05,0.00013109355946299838,0.0006283336669292475,0.0024764985181238027,0.008479669574361026,0.02560832675988028,0.06817249876835661,0.15854050813639767,0.317651358564988,0.5389706939329656,0.7585515672437292,0.8641611277161613,0.774907818070782,0.5302416837453297,0.2675697024237822,0.09586043959889912,0.023348094955235307,0.0036761268340698935,0.00035325885717131533,3.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004220591422827358,0.02223567795214498,0.07312885621144898,0.20414945303344476,0.4893351566238299,1.0193278222054218,1.8388991912184762,2.8163556852303793,3.5583068476782134,3.5924389215802073,2.821580633809449,1.6839542877548777,0.7420569337116547,0.2341225547159392,0.05051980559535798,0.007187030666816718,0.0006424021783579411,3.417547712960134e-05,1.0193528695837907e-06,3.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.786656981149959e-06,4.928605707074096e-05,0.00020975745723317898,0.0007282100815366272,0.0022445259090939445,0.006187204844596807,0.015293862947140174,0.033724522682348795,0.06568579184629218,0.11143349620405765,0.1618990705710561,0.19796623802929833,0.20030164585513363,0.16448295533301277,0.10698350067527118,0.053546972326442455,0.01995503287587178,0.005331841138378802,0.0009787580665099446,0.00011692342802926868,8.6065975826927e-06,3.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001488318732825988,0.0008967912607080292,0.0037419432317733234,0.012498373616771852,0.03594832038815204,0.0904291453978972,0.19865263405324704,0.3777474278226613,0.6131982849016296,0.8360921449886335,0.9400833558790213,0.8521010609876699,0.6057890177069419,0.3274388053191971,0.13002433776242783,0.036480075168305176,0.006914683794038957,0.0008424592056381483,6.226411150152419e-05,3.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4253464071346076e-05,7.308445627974983e-05,0.0002590101742099782,0.0007582562222987633,0.0019390238754588354,0.004383064681342129,0.008707246002725853,0.015060872100714206,0.02239596734851054,0.028157810526608606,0.029337893205705536,0.024763696170935382,0.016491244179206912,0.008397472155820351,0.0031536619975788024,0.0008404347026275847,0.00015035689707975245,1.9362732917355246e-05,1.1797558682670023e-06,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.481240647034842e-05,0.00020872268846455948,0.0007127333016008527,0.002262065989537592,0.006508052992091523,0.017156950983883836,0.04132024170973211,0.09031576520414547,0.17728985337915862,0.30837561020113463,0.466716912047646,0.6012310023558167,0.6450650646687259,0.5669198939693069,0.4017805319844628,0.22471098322006786,0.09643882603980529,0.030735988689333162,0.006999808624627049,0.001091637883521845,0.00011435103879998055,6.500572345103505e-06,3.0
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7970856901150734e-05,0.00025661555952485415,0.0010149018597468966,0.003604118189986548,0.011556061594338536,0.0335574883396884,0.08808022925782769,0.20734934775619332,0.4330792145750661,0.7910394892705922,1.2413076736858406,1.639348149507379,1.7798650610656113,1.5458503385341251,1.0411096739641132,0.5256056904305536,0.19179012325231803,0.048593513350271074,0.008176614010476674,0.0008642726311661773,5.42768406987157e-05,3.0
